objectid,parentid,title,description,type,format,display_template,object_location,image_small,image_thumb
dcb30,,"Indiana beer bottle rare Klopfenstein & Dilling,",Preble IN,record,image/jpg,multiple,,/objects/small/30_1_sm.jpg,/objects/thumbs/30_1_th.jpg
,dcb30,,,,,,/objects/30_1.JPG,/objects/small/30_1_sm.jpg,/objects/thumbs/30_1_th.jpg
,dcb30,,,,,,/objects/30_2.JPG,/objects/small/30_2_sm.jpg,/objects/thumbs/30_2_th.jpg
dcb31,,"Indiana beer bottle rare Klopfenstein & Dilling,",Preble IN,record,image/jpg,multiple,,/objects/small/31_1_sm.jpg,/objects/thumbs/31_1_th.jpg
,dcb31,,,,,,/objects/31_1.JPG,/objects/small/31_1_sm.jpg,/objects/thumbs/31_1_th.jpg
,dcb31,,,,,,/objects/31_2.JPG,/objects/small/31_2_sm.jpg,/objects/thumbs/31_2_th.jpg
dcb32,,"Indiana beer bottle, rare, Benedict & Hunsche,","Fort Wayne IN, only one known to exist",record,image/jpg,multiple,,/objects/small/32_1_sm.jpg,/objects/thumbs/32_1_th.jpg
,dcb32,,,,,,/objects/32_1.JPG,/objects/small/32_1_sm.jpg,/objects/thumbs/32_1_th.jpg
,dcb32,,,,,,/objects/32_2.JPG,/objects/small/32_2_sm.jpg,/objects/thumbs/32_2_th.jpg
dcb33,,Indiana beer bottle D. Carpenter Elkhart IN,no description,record,image/jpg,multiple,,/objects/small/33_1_sm.jpg,/objects/thumbs/33_1_th.jpg
,dcb33,,,,,,/objects/33_1.JPG,/objects/small/33_1_sm.jpg,/objects/thumbs/33_1_th.jpg
,dcb33,,,,,,/objects/33_2.JPG,/objects/small/33_2_sm.jpg,/objects/thumbs/33_2_th.jpg
dcb34,,"Aqua ribbed flask, iron pontil",,Image;StillImage,image/jpg,image,/objects/34.JPG,/objects/small/34_sm.JPG,/objects/thumbs/34_th.JPG
dcb35,,Aqua Louisville Glass Works flask,,Image;StillImage,image/jpg,image,/objects/35.JPG,/objects/small/35_sm.JPG,/objects/thumbs/35_th.JPG
dcb36,,"Medicine bottle, Mexican Herb Tonic,","H.E. Kratz & Co, Angola IN",record,image/jpg,multiple,,/objects/small/36_1_sm.jpg,/objects/thumbs/36_1_th.jpg
,dcb36,,,,,,/objects/36_1.JPG,/objects/small/36_1_sm.jpg,/objects/thumbs/36_1_th.jpg
,dcb36,,,,,,/objects/36_2.JPG,/objects/small/36_2_sm.jpg,/objects/thumbs/36_2_th.jpg
dcb37,,"Indiana beer bottle Walter Raupfer Brg Co,",Columbia City IN,record,image/jpg,multiple,,/objects/small/37_1_sm.jpg,/objects/thumbs/37_1_th.jpg
,dcb37,,,,,,/objects/37_1.JPG,/objects/small/37_1_sm.jpg,/objects/thumbs/37_1_th.jpg
,dcb37,,,,,,/objects/37_2.JPG,/objects/small/37_2_sm.jpg,/objects/thumbs/37_2_th.jpg
dcb38,,Indiana beer bottle Columbia City Bottling Works,Columbia City IN,record,image/jpg,multiple,,/objects/small/38_1_sm.jpg,/objects/thumbs/38_1_th.jpg
,dcb38,,,,,,/objects/38_1.JPG,/objects/small/38_1_sm.jpg,/objects/thumbs/38_1_th.jpg
,dcb38,,,,,,/objects/38_2.JPG,/objects/small/38_2_sm.jpg,/objects/thumbs/38_2_th.jpg
dcb39,,Indiana beer bottle Berghoff Brewing Assn,"Fort Wayne IN, paper label, crown top",record,image/jpg,multiple,,/objects/small/39_1_sm.jpg,/objects/thumbs/39_1_th.jpg
,dcb39,,,,,,/objects/39_1.JPG,/objects/small/39_1_sm.jpg,/objects/thumbs/39_1_th.jpg
,dcb39,,,,,,/objects/39_2.JPG,/objects/small/39_2_sm.jpg,/objects/thumbs/39_2_th.jpg
dcb40,,Indiana beer bottle Berghoff Brewing Assn,"Fort Wayne IN, paper label, crown top",record,image/jpg,multiple,,/objects/small/40_1_sm.jpg,/objects/thumbs/40_1_th.jpg
,dcb40,,,,,,/objects/40_1.JPG,/objects/small/40_1_sm.jpg,/objects/thumbs/40_1_th.jpg
,dcb40,,,,,,/objects/40_2.JPG,/objects/small/40_2_sm.jpg,/objects/thumbs/40_2_th.jpg
